pressure1,pressure2,temperature
9181,18979,2103
9176,18979,2103
9186,18979,2103
9167,18979,2103
9181,18976,2103
9162,18979,2103
9191,18976,2103
9162,18976,2103
9181,18979,2103
9167,18979,2103
9181,18979,2103
9167,18976,2103
9181,18976,2103
9157,18976,2103
9157,18979,2103
9157,18976,2103
9176,18979,2103
9167,18979,2103
9186,18976,2103
9157,18979,2103
9172,18976,2103
9167,18979,2103
9181,18976,2103
9172,18979,2103
9181,18976,2103
9167,18976,2103
9172,18976,2103
9157,18979,2103
9172,18976,2103
9137,18976,2103
9157,18973,2103
9152,18979,2103
9172,18976,2103
9162,18976,2103
9172,18979,2103
9142,18979,2103
9157,18976,2103
9137,18979,2103
9162,18973,2103
9162,18979,2103
9167,18979,2103
9128,18979,2103
9142,18976,2103
9147,18976,2103
9152,18976,2103
9147,18979,2103
9167,18976,2103
9137,18979,2103
9133,18976,2103
9113,18976,2103
9137,18976,2103
9133,18979,2103
9147,18976,2103
9137,18976,2103
9167,18976,2103
9147,18979,2103
9137,18976,2103
9113,18976,2103
9152,18976,2103
9152,18976,2103
9152,18973,2103
9118,18976,2103
9152,18973,2103
9133,18979,2103
9142,18976,2103
9108,18976,2103
9142,18973,2103
9128,18976,2103
9137,18976,2103
9133,18979,2103
9147,18973,2103
9137,18973,2103
9152,18976,2103
9142,18976,2103
9162,18973,2103
9133,18976,2103
9157,18973,2103
9133,18973,2103
9123,18973,2103
9113,18979,2103
9157,18979,2103
9147,18979,2103
9137,18976,2103
9118,18976,2103
9133,18976,2103
9108,18976,2103
9133,18976,2103
9118,18976,2103
9152,18976,2103
9142,18976,2103
9133,18976,2103
9128,18976,2103
9142,18976,2103
9133,18976,2103
9133,18979,2103
9128,18976,2103
9142,18979,2103
9118,18976,2103
9128,18979,2103
9113,18979,2103
9142,18979,2103
9128,18976,2103
9123,18976,2103
9103,18976,2103
9137,18979,2103
9113,18979,2103
9128,18976,2103
9118,18976,2103
9142,18976,2103
9113,18976,2103
9118,18976,2103
9098,18979,2103
9118,18976,2103
9098,18976,2103
9128,18979,2103
9108,18979,2103
9123,18976,2103
9098,18979,2103
9123,18976,2103
9093,18979,2103
9113,18976,2103
9103,18979,2103
9118,18979,2103
9093,18979,2103
9108,18976,2102
9093,18979,2102
9113,18979,2102
9098,18976,2102
9113,18976,2102
9074,18979,2102
9108,18976,2102
9093,18979,2102
9103,18979,2102
9098,18979,2102
9118,18973,2102
9103,18976,2102
9108,18973,2102
9089,18976,2102
9108,18976,2102
9089,18976,2102
9103,18976,2102
9079,18976,2102
9103,18979,2102
9098,18976,2102
9113,18976,2102
9079,18976,2102
9108,18976,2103
9084,18979,2103
9084,18976,2102
9089,18976,2102
9103,18976,2102
9089,18976,2102
9103,18979,2102
9089,18976,2102
9108,18976,2102
9098,18976,2103
9118,18976,2103
9098,18979,2103
9103,18979,2103
9093,18976,2103
9113,18979,2103
9089,18976,2102
9103,18976,2103
9074,18976,2103
9089,18973,2103
9089,18976,2103
9108,18976,2103
9093,18976,2103
9098,18976,2103
9074,18976,2103
9093,18976,2103
9084,18976,2103
9098,18979,2102
9074,18973,2103
9098,18976,2103
9074,18979,2102
9098,18976,2102
9098,18976,2103
9098,18979,2102
9079,18976,2102
9098,18973,2103
9064,18973,2103
9098,18976,2103
9093,18976,2103
9108,18973,2102
9084,18979,2102
9093,18976,2102
9079,18976,2102
9074,18976,2102
9064,18976,2102
9084,18976,2102
9069,18976,2102
9089,18976,2102
9054,18976,2102
9074,18976,2102
9049,18979,2102
9074,18979,2102
9059,18979,2102
9069,18976,2102
9045,18976,2102
9059,18979,2102
9035,18976,2102
9054,18976,2102
9049,18976,2102
9059,18979,2102
9045,18979,2102
9074,18976,2102
9049,18976,2102
9059,18979,2102
9059,18979,2102
9074,18979,2102
9059,18979,2102
9064,18976,2102
9049,18976,2102
9069,18973,2102
9049,18976,2102
9059,18979,2102
9025,18976,2102
9069,18976,2102
9054,18976,2102
9064,18979,2102
9049,18976,2102
9079,18979,2102
9054,18979,2102
9069,18979,2102
9045,18979,2102
9059,18976,2102
9040,18979,2102
9054,18979,2102
9045,18979,2102
9059,18979,2102
9049,18976,2102
9064,18979,2102
9045,18979,2102
9059,18973,2102
9040,18979,2102
9059,18979,2102
9035,18979,2102
9064,18979,2102
9049,18979,2102
9054,18979,2102
9040,18976,2102
9054,18976,2102
9040,18976,2102
9054,18979,2102
9045,18979,2102
9069,18976,2102
9030,18979,2102
9064,18979,2102
9045,18976,2102
9054,18979,2102
9035,18979,2102
9049,18976,2102
9035,18976,2102
9045,18976,2102
9030,18976,2102
9054,18976,2102
9040,18979,2102
9045,18976,2102
9035,18976,2102
9054,18976,2102
9035,18976,2102
9049,18976,2102
9035,18979,2102
9049,18976,2102
9020,18976,2102
9035,18976,2102
9025,18976,2102
9049,18976,2102
9015,18976,2102
9040,18976,2102
9025,18976,2102
